id;code;first_language;ip;region;gender;age;laterality;numeros_errors;topos_errors;palabras_errors;puntuacion_time_length;puntuacion_distance;instrucciones_2_time_length;instrucciones_2_distance;topos_time_length;topos_hits;topos_distance;numeros_time_length;numeros_clicks;numeros_distance;botones4_2_time_length;botones4_2_distance;botones4_time_length;botones4_distance;instrucciones_3_time_length;instrucciones_3_distance;puntuacion_3_time_length;puntuacion_3_distance;puntuacion_2_time_length;puntuacion_2_distance;acrobatas_time_length;acrobatas_distance;resultado3_time_length;resultado3_distance;resultado2_time_length;resultado2_distance;resultado1_time_length;resultado1_distance;botones4_3_time_length;botones4_3_distance;instrucciones_1_time_length;instrucciones_1_distance;palabras_time_length;palabras_distance;palabras_key_ups;resultado4_time_length;resultado4_distance;puntuacion_4_time_length;puntuacion_4_distance;botones4_4_time_length;botones4_4_distance;botones4_5_time_length;botones4_5_distance
511;UNKNOWN;en;83.41.153.191;ES;MAN;22;RIGHT;0;1;5;2023;366.0;4228;573.0;14368;11;6033.0;21839;20;15600.0;1112;222.0;2413;1052.0;4176;208.0;1789;7.0;1112;20.0;10952;1360.0;1961;378.0;8514;429.0;2476;0.0;1358;1018.0;5714;392.0;1706;0.0;26;1506;512.0;-;-;-;-;-;-
512;UNKNOWN;es;81.9.153.41;ES;MAN;22;RIGHT;0;1;6;1403;127.0;3046;139.0;14241;11;4658.0;23996;20;9639.0;1055;301.0;1438;378.0;4246;584.0;1949;4.0;738;23.0;9274;498.0;1431;243.0;5469;354.0;558;0.0;812;279.0;5781;486.0;3284;0.0;29;1549;164.0;-;-;-;-;-;-
514;UNKNOWN;es;85.152.185.206;ES;MAN;22;RIGHT;0;3;0;1105;320.0;3020;216.0;14182;9;4889.0;20160;20;9614.0;904;227.0;1741;728.0;2659;60.0;1814;6.0;879;99.0;6885;655.0;1918;402.0;5947;582.0;2656;0.0;718;292.0;3977;176.0;2399;0.0;23;1592;173.0;-;-;-;-;-;-
515;UNKNOWN;es;156.35.225.26;ES;MAN;21;LEFT;0;2;4;1194;164.0;4482;327.0;14306;10;4962.0;21628;20;9666.0;1271;225.0;2132;192.0;4234;298.0;2014;7.0;907;27.0;10116;202.0;1916;102.0;6066;33.0;3387;0.0;1779;371.0;15179;1749.0;4636;0.0;27;1620;4.0;-;-;-;-;-;-
516;UNKNOWN;es;81.9.153.41;ES;MAN;22;RIGHT;0;0;0;831;153.0;1172;252.0;14016;12;5186.0;16980;20;8976.0;1023;192.0;817;376.0;1706;226.0;1445;21.0;1811;85.0;7148;451.0;1099;127.0;5536;88.0;2922;0.0;928;303.0;1039;297.0;573;0.0;23;1038;0.0;-;-;-;-;-;-
518;C2FD;en;121.52.153.100;PK;WOMAN;18;LEFT;0;11;0;3324;276.0;13538;683.0;20364;1;3927.0;50210;20;12902.0;1723;383.0;6034;295.0;13483;685.0;2180;6.0;1396;77.0;23178;1928.0;3428;0.0;6421;433.0;12197;0.0;1690;294.0;15751;1251.0;7974;0.0;21;4481;8.0;-;-;-;-;-;-
519;UNKNOWN;es;156.35.225.31;ES;WOMAN;20;RIGHT;1;0;-2;708;218.0;2479;160.0;14358;12;5344.0;18601;21;9631.0;1358;593.0;3218;696.0;2252;386.0;6374;11.0;736;47.0;5966;477.0;1723;322.0;5376;130.0;2599;0.0;875;174.0;3852;1203.0;3372;0.0;21;1470;0.0;-;-;-;-;-;-
521;UNKNOWN;en;156.35.225.28;ES;MAN;20;RIGHT;2;0;1;583;122.0;4271;206.0;14021;12;5746.0;22784;22;12698.0;1331;259.0;1501;419.0;3995;103.0;1526;13.0;759;34.0;10797;1184.0;1209;13.0;1660;33.0;1922;0.0;833;195.0;104922;1134.0;348;0.0;22;1516;7.0;-;-;-;-;-;-
522;UNKNOWN;es;83.58.241.10;ES;WOMAN;18;RIGHT;1;5;0;1254;161.0;3111;185.0;15694;7;7206.0;29489;21;13102.0;1496;350.0;2153;986.0;2327;369.0;-;-;2081;290.0;10226;837.0;4214;33.0;2902;643.0;4940;0.0;2799;876.0;1719;383.0;3817;0.0;23;2002;6.0;-;-;-;-;-;-
523;UNKNOWN;en;156.35.225.27;ES;MAN;20;RIGHT;0;4;9;692;235.0;1409;330.0;15907;8;4431.0;24693;20;9718.0;1025;296.0;2310;1089.0;1494;368.0;1444;4.0;1042;16.0;8406;1263.0;2037;38.0;19234;2232.0;1456;0.0;1149;718.0;4148;64.0;2232;0.0;30;2506;28.0;-;-;-;-;-;-
524;UNKNOWN;es;95.16.147.189;ES;MAN;27;RIGHT;0;2;2;1289;324.0;3483;190.0;15785;10;4202.0;21460;20;9743.0;1747;264.0;2449;205.0;4298;277.0;-;-;1838;132.0;12486;800.0;4477;396.0;4286;44.0;3521;0.0;2282;604.0;6506;543.0;4308;0.0;25;1861;593.0;-;-;-;-;-;-
525;UNKNOWN;es;93.156.57.87;ES;MAN;20;RIGHT;0;4;1;1309;350.0;3604;310.0;15920;8;7005.0;29317;20;11435.0;2268;910.0;1988;321.0;2266;225.0;1920;30.0;4781;106.0;6470;579.0;18251;622.0;18943;278.0;2909;0.0;1255;389.0;9609;905.0;2461;0.0;24;3277;71.0;-;-;-;-;-;-
527;UNKNOWN;es;156.35.225.24;ES;MAN;20;RIGHT;0;1;8;7637;69.0;2484;368.0;14534;11;6141.0;26503;20;12869.0;949;164.0;5920;945.0;2507;191.0;2060;10.0;1041;23.0;12754;2285.0;2519;330.0;17731;74.0;2563;0.0;1097;902.0;5316;1280.0;876;0.0;31;1887;0.0;-;-;-;-;-;-
535;UNKNOWN;en;156.35.225.31;ES;MAN;19;RIGHT;0;1;4;726;119.0;5706;382.0;14471;11;6402.0;26517;20;13180.0;1203;79.0;2944;468.0;4166;229.0;1482;18.0;775;12.0;12264;519.0;2115;116.0;5211;55.0;2810;0.0;1491;204.0;27778;742.0;1889;0.0;25;11702;27.0;-;-;-;-;-;-
536;UNKNOWN;en;156.35.225.26;ES;WOMAN;19;RIGHT;1;0;0;789;236.0;1182;180.0;14351;12;10705.0;19916;21;13060.0;656;67.0;1134;279.0;1041;193.0;1768;244.0;640;48.0;8193;1286.0;1182;1049.0;4809;189.0;3423;0.0;1275;1118.0;1544;828.0;1531;0.0;21;255;31.0;-;-;-;-;-;-
540;UNKNOWN;en;212.89.8.146;ES;MAN;21;RIGHT;1;1;6;1074;98.0;3022;508.0;14516;11;5182.0;19317;21;10269.0;1140;264.0;2206;629.0;4182;253.0;-;-;2225;100.0;9438;810.0;1995;344.0;5862;119.0;2957;0.0;2766;854.0;4545;600.0;1195;0.0;27;2195;27.0;-;-;-;-;-;-
541;UNKNOWN;es;213.141.45.12;ES;MAN;20;RIGHT;0;0;1;975;27.0;3082;105.0;14114;12;8643.0;22921;20;16196.0;1051;457.0;1433;289.0;1882;300.0;1503;21.0;777;194.0;7890;791.0;1368;17.0;8941;448.0;3337;0.0;921;318.0;7860;1723.0;3373;0.0;24;1017;0.0;-;-;-;-;-;-
542;UNKNOWN;es;156.35.225.71;ES;WOMAN;22;RIGHT;0;6;6;1891;0.0;4445;0.0;15333;6;3500.0;33338;20;7656.0;1579;0.0;2535;0.0;9729;0.0;1232;0.0;1715;0.0;9345;0.0;5554;0.0;25666;0.0;1856;0.0;1510;0.0;5698;0.0;23715;0.0;29;2150;0.0;-;-;-;-;-;-
543;UNKNOWN;es;83.97.229.185;ES;MAN;28;RIGHT;0;2;2;1102;33.0;2237;262.0;14237;10;5176.0;22566;20;11014.0;1059;341.0;1634;204.0;2511;168.0;1782;102.0;949;93.0;5626;496.0;1752;223.0;6462;148.0;3524;0.0;1009;232.0;6959;536.0;3456;0.0;25;1773;57.0;-;-;-;-;-;-
547;UNKNOWN;en;85.152.44.140;ES;MAN;20;RIGHT;0;6;5;1111;61.0;4133;429.0;15787;6;3392.0;42036;20;9401.0;1915;256.0;2228;467.0;4090;275.0;2639;0.0;1203;66.0;14379;674.0;1379;0.0;6519;247.0;3910;0.0;1359;260.0;2303;74.0;11668;0.0;26;7796;41.0;-;-;-;-;-;-
549;C2FD;en;182.186.193.164;PK;MAN;19;RIGHT;14;12;0;3641;273.0;13597;870.0;18088;0;1971.0;79454;34;21513.0;2739;316.0;8247;932.0;10547;539.0;3671;167.0;2054;265.0;27022;572.0;6138;34.0;8700;86.0;14940;0.0;5269;263.0;19499;647.0;11191;0.0;21;5715;0.0;-;-;-;-;-;-
551;UNKNOWN;es;156.35.225.71;ES;WOMAN;22;RIGHT;0;11;0;1226;0.0;1271;0.0;14891;1;2345.0;30432;20;7386.0;1590;0.0;1266;0.0;4442;0.0;1099;0.0;1102;0.0;4614;0.0;1693;0.0;7166;0.0;1949;0.0;1759;0.0;8517;0.0;7804;0.0;23;1256;0.0;-;-;-;-;-;-
552;UNKNOWN;es;81.9.214.181;ES;MAN;30;RIGHT;0;0;6;1207;182.0;8877;520.0;14622;12;4105.0;25908;20;9286.0;1530;174.0;2134;468.0;4424;288.0;1699;102.0;1462;89.0;13011;591.0;2528;100.0;12314;287.0;4216;0.0;1407;303.0;9129;936.0;8949;0.0;29;1857;10.0;-;-;-;-;-;-
553;UNKNOWN;es;79.148.66.75;ES;MAN;27;RIGHT;0;6;1;1486;181.0;9332;1219.0;19063;6;8528.0;26622;20;12452.0;1344;716.0;1429;349.0;3484;0.0;-;-;1893;118.0;13284;495.0;1941;56.0;9013;241.0;4052;0.0;1283;419.0;16172;342.0;2039;0.0;24;1678;24.0;-;-;-;-;-;-
554;C2FD;en;182.186.193.164;PK;WOMAN;18;RIGHT;1;11;0;2052;121.0;6883;193.0;15259;1;2852.0;81683;21;13158.0;1986;190.0;5801;526.0;4262;203.0;2454;4.0;1643;99.0;29645;1628.0;2390;0.0;5442;98.0;2824;0.0;1823;460.0;31185;1433.0;27672;0.0;21;6506;37.0;-;-;-;-;-;-
556;UNKNOWN;es;77.230.45.195;ES;WOMAN;19;RIGHT;1;3;3;1428;286.0;4086;286.0;16413;9;9732.0;26592;21;17424.0;1292;730.0;1376;350.0;2185;288.0;2620;9.0;3353;313.0;5088;1289.0;1478;154.0;7231;274.0;5731;0.0;984;564.0;14379;5886.0;9096;0.0;26;1434;0.0;-;-;-;-;-;-
557;UNKNOWN;es;81.44.144.234;ES;WOMAN;43;LEFT;6;6;10;1395;0.0;2902;0.0;15778;6;2134.0;26179;26;8865.0;1360;0.0;9677;336.0;4795;0.0;2336;0.0;2403;0.0;8524;0.0;2307;0.0;14926;27.0;-;-;1755;0.0;11847;193.0;9459;0.0;33;2389;0.0;-;-;-;-;-;-
